symbol,sector,industry,longName,volume,profitMargins,sharesOutstanding,regularMarketPreviousClose,trailingPE,priceToBook
0001.HK,Industrials,Conglomerates,CK Hutchison Holdings Limited,700952,0.13379,3856240128,69.7,6.874382,0.5903489
0002.HK,Utilities,Utilities—Regulated Electric,CLP Holdings Limited,785501,0.06145,2526449920,79.2,14.925373,1.8396726
0003.HK,Utilities,Utilities—Regulated Gas,The Hong Kong and China Gas Company Limited,5314320,0.21170999,16925100032,14.74,26.90909,3.844156
0004.HK,Real Estate,Real Estate Services,Wharf (Holdings) Limited,245632,0.29174,3049029888,17.88,8.183486,0.38141665
0005.HK,Financial Services,Banks—Diversified,HSBC Holdings plc,1567607,0.27508,20312600576,57.6,11.711263,6.1581078
0006.HK,Utilities,Utilities—Independent Power Producers,Power Assets Holdings Limited,129756,5.03584,2134259968,54.95,15.405028,1.42363
0007.HK,Industrials,Conglomerates,Hong Kong Finance Investment Holding Group Limited,6000,-2.66544,4000000000,0.82,,1.0374999
0008.HK,Communication Services,Telecom Services,PCCW Limited,393000,0.02382,7719640064,4.62,39.55288,2.2560077
0009.HK,Real Estate,Real Estate—Development,Nine Express Limited,60000,0.0,3568790016,0.102,,0.38490567
0010.HK,Real Estate,Real Estate—Diversified,Hang Lung Group Limited,34384,0.63718,1362000000,19.1,4.9123707,0.29121023
0011.HK,Financial Services,Banks—Regional,Hang Seng Bank Limited,125603,0.64637,1911840000,157.9,12.580129,1.7378213
0012.HK,Real Estate,Real Estate Services,Henderson Land Development Company Limited,88153,1.39325,4841390080,37.55,5.8340387,0.57765675
0014.HK,Real Estate,Real Estate Services,Hysan Development Company Limited,233730,1.3309599,1044220032,29.95,5.185031,0.41161895
0015.HK,Industrials,Engineering & Construction,Vantage International (Holdings) Limited,26000,0.20466,1682969984,0.55,1.3139036,0.22267206
0016.HK,Real Estate,Real Estate—Development,Sun Hung Kai Properties Limited,105081,0.52851003,2896999936,113.3,7.290323,0.574295
0017.HK,Real Estate,Real Estate—Diversified,New World Development Company Limited,627650,0.24702999,10224799744,10.22,5.730337,0.42496458
0018.HK,Communication Services,Publishing,Oriental Press Group Limited,190000,0.0937,2397920000,0.55,16.22419,0.7323569
0019.HK,Industrials,Conglomerates,Swire Pacific Limited,220009,0.21203,905206016,70.4,4.456798,0.38380104
0020.HK,Real Estate,Real Estate Services,Wheelock and Company Limited,8116,0.32231,2048550016,48.45,5.7414,0.37511238
0021.HK,Real Estate,Real Estate Services,Great China Properties Holdings Limited,25120,0.38514,3975229952,0.127,,0.4738806
